BillboardTitle,BillboardArtist,OriginChart,peakpos_alltime,weeksonchart_alltime,MyPart_id,Song Form,Pre-Chorus Section Lyrics,Tempo,Song Length,Vocal vs. Instrumental Prevalence,First Section Type,Intro Length,"Intro (Instrumental, Vocal)",Verse Count,Pre-Chorus Count,Chorus Count,Vocal Post-Chorus Count,Departure Section,Last Section Type,Outro Length,"Outro (Instrumental, Vocal)",Number of Distinct Sections,Melodic Interval Prevalence,Main Melodic Range (tones),Main Melodic Range,Number of Melodic Themes,Key,"Key (Major, Minor, Major Mode, Minor Mode)",Use of Parallel Mode,%Diatonic Chords,Chord Repetition,Use of Triads,Use of Inverted Chords,Use of 7th Chords,Use of Major 7th Chords,Chord Degree Prevalence,Timbre,Predominantly Acoustic vs Electronic,Prominent Instruments,Song Title Word Count,Song Title Appearances,Person References,Location References,Organization or Brand References,Consumer Goods References,Creative Works Title References,Literal Experiences vs. Abstract,Lyrical Sub Themes defining Lyrical Themes,Lyrical Moods,Use of In-Line Lyric Repetition,Line Repetition,Overall Repetitiveness,Average Word Repetition (Full Song),Common Words Prevalence 1k,Common Words Prevalence 10k,Common Words Prevalence 50k,%Slang Words,%Abbreviations,%Non Dictionary Words,%Profanity Words,Average Consonance Alliteration,Average Assonance Alliteration,Rhyme Density,Percentage of Rhyming Syllables,Average Rhymes per Line,Number Of Rhyme Groups In The Song By ELR,End-of-Line Perfect Rhyme Percentage,End-of-Line Secondary Perfect Rhyme Percentage,End-of-Line Assonance Rhyme Percentage,End-of-Line Consonance Rhyme Percentage,Perfect Rhyme Percentage,Secondary Perfect Rhyme Percentage,Assonance Rhyme Percentage,Consonance Rhyme Percentage,End-of-Line Rhyme Percentage,Mid-Line Rhyme Percentage,Internal Rhyme Percentage,Mid-Word Rhyme Percentage,Lyrical Density,Average Number of Words per Line,Primary Genre,Sub-Genres,Influences,Production Mood,Danceability,Loudness Range
My Way,Fetty Wap Featuring Monty,hot-100,7,22,[FettyWapFeaturingMonty].MyWay,ABAB,No Pre-Chorus,64.03019715,3:33,Vocals Prevalence,Intro,0:00,No Intro,2,0,2,0,1,Outro,0:19,Vocal,4,"%P1-%m2, %M2-%m3, %M3-%P5",6.75,Horizontal,1,Bb Aeolian,Aeolian,0,0.870967742,6.2,0.387096774,0.048387097,0.330645161,0.096774194,"%I, %IV, %VI",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Guitar, Piano",2,7,0.037470726,0.007025761,0.011709602,0.007025761,0.004683841,Both,"Romantic, Egocentric, Sex, Protest, Boasting, Lifestyle","Cynical, Reluctance, Anger, Bitter",0.011299435,0.263157895,0.440057088,2.502890173,0.520618557,0.809278351,0.943298969,0.004618938,0.020785219,0.060046189,0.032332564,0.66855133,0.511890994,0.350194553,0.188715953,1.701754386,0.154761905,0.203703704,0,0.148148148,0,0.256756757,0.054054054,0.243243243,0.013513514,0.72972973,0.392857143,0.095238095,0.126126126,1.880123663,6.765625,Hip Hop/Rap,Hip Hop/Rap,Trap,"Party, Relaxed, Melancholic",0.42065233,1.921288013
my.life,"J. Cole, 21 Savage & Morray",hot-100,2,9,[JCole21SavageAndMorray].Mylife,ABAB,No Pre-Chorus,139.7924042,3:33,Vocals Prevalence,Intro,0:00,No Intro,2,0,2,0,1,Outro,0:00,No Outro,8,"%P1-%m2, %M2-%m3, %M3-%P5",9.5,Mixed-Horizontal,4,D Minor,Minor,0,0.555555556,2.204081631,0.305555556,0.277777778,0.453703704,0.175925926,"%I, %IV, %VII",Mixed,Primarily Electronic,Other,1,0,0.052998605,0.009762901,0.012552301,0.0027894,0.006973501,Literal,"Lifestyle, Religion or Spirituality, Friendship, Drugs or Alcohol Use or Alcohol Use","Cynical, Optimistic, Reluctance, Positive, Detached",0.018018018,0.220720721,0.469279956,2.472413793,0.494186047,0.752906977,0.924418605,0.0027894,0.059972106,0.022315202,0.022315202,1.71469901,0.736535966,0.34228972,0.178738318,2.067567568,0.134751773,0.112676056,0.014084507,0.183098592,0.042253521,0.224,0.016,0.272,0.048,0.568,0.468085106,0.063829787,0.337662338,3.275767544,8.607594937,,,,Happy,0.967910588,16.91144562
Nasty Freestyle,T-Wayne,hot-100,9,20,[T-Wayne].NastyFreestyle,AAA,No Pre-Chorus,67.5483017,2:22,Vocals Prevalence,Verse,0:00,No Intro,1,0,0,0,1,Outro,0:45,Vocal,2,"%P1-%m2, %M2-%m3, %M3-%P5",5.5,Horizontal,1,D# Minor,Minor,0,0.753846154,2.954545455,0.507692308,0.169230769,0.415384615,0.153846154,"%I, %III, %IV, %VI",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence",2,0,0.074585635,0.008287293,0.005524862,0.008287293,0.002762431,Literal,"Empowering, Lifestyle, Yearning for Social company",Cynical,0,0,0.560445682,1.739130435,0.388888889,0.691919192,0.909090909,0.011111111,0.083333333,0.013888889,0.027777778,2.496750711,1.053090428,0.26681128,0.156182213,1.945945946,0.301587302,0.105263158,0,0.578947368,0,0.283018868,0.018867925,0.41509434,0,0.358490566,0.603174603,0.19047619,0.357142857,2.516778523,9.205128205,Hip Hop/Rap,Hip Hop/Rap,Classic Hip Hop,"Party, Relaxed",0.998411059,8.47568512
Needed Me,Rihanna,hot-100,7,45,[Rihanna].NeededMe,A-PC-B,Lyrically Identical,110.5120316,3:11,Vocals Prevalence,Intro,0:23,Vocal,2,2,2,0,1,Outro,0:23,Instrumental,5,"%P1-%m2, %M2-%m3, %M3-%P5",15,Vertical,3,Eb Major,Major,0,0.638297872,4.947368421,0.180851064,0.170212766,0.287234043,0.170212766,"%I, %III, %V",Mixed,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Piano",2,6,0.020477816,0,0,0,0,Both,Protest,"Cynical, Happy, Reluctance, Anger, Sad, Bitter",0.016260163,0.487804878,0.385438972,2.989795918,0.575342466,0.883561644,0.97260274,0,0.040955631,0.017064846,0.04778157,0.287649057,0.336734694,0.283286119,0.152974504,1.317073171,0.311111111,0.125,0,0.1875,0.0625,0.210526316,0.026315789,0.210526316,0.052631579,0.842105263,0.2,0.222222222,0.228571429,1.509997939,6.104166667,Pop,"Pop, Hip Hop/Rap, R&B/Soul","R&B, Trap","Party, Relaxed",0.971686184,10.94503975
Never Be The Same,Camila Cabello,hot-100,6,37,[CamilaCabello].NeverBeTheSame,A-PC-B,Lyrically Identical,129.905838,3:46,Vocals Prevalence,Intro,0:00,No Intro,2,2,3,2,1,Chorus,0:00,No Outro,6,"%P1-%m2, %M2-%m3, %M3-%P5, %m6+",9.5,Mixed-Horizontal,3,C Major,Major,0,0.684210526,3.392857143,0.505263158,0.094736842,0.305263158,0.115789474,"%I, %II, %IV, %V",Mixed,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Guitar",4,9,0.058139535,0.004651163,0.002325581,0.009302326,0.013953488,Abstract,"Materialized Dream, Drugs or Alcohol Use or Alcohol Use","Cynical, Reluctance, Anger, Sad, Bitter",0.018518519,0.320987654,0.262192178,4.634408602,0.525252525,0.727272727,0.919191919,0.041763341,0.025522042,0,0,0.665488548,0.4255,0.407024793,0.190082645,1.703703704,0.101123596,0.173913043,0,0.434782609,0,0.272727273,0.012987013,0.272727273,0.12987013,0.597402597,0.269662921,0.134831461,0.275590551,1.786187919,6.546875,Pop,Pop,Teen Pop,"Happy, Party",0.72276324,6.583863735
New Rules,Dua Lipa,hot-100,6,48,[DuaLipa].NewRules,A-PC-B,Lyrically Identical,115.6593323,3:29,Vocals Prevalence,Intro,0:00,Vocal,2,3,3,0,0,Outro,0:00,Vocal,4,"%P1-%m2, %M2-%m3, %M3-%P5",11.5,Mixed-Vertical,3,A Aeolian,Aeolian,0,0.882352941,4.576923077,0.470588235,0.050420168,0.411764706,0.235294118,"%I, %VI, %VII",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence",2,10,0.024948025,0,0,0.006237006,0,Both,"Infatuation, Love, Romantic, Materialized Dream, Friendship","Cynical, Reluctance",0.097435897,0.402298851,0.289418653,4.208695652,0.651376147,0.834862385,0.926605505,0,0.084710744,0.008264463,0,0.889468804,0.829231641,0.295180723,0.138554217,1.189655172,0.196721311,0,0,0.192307692,0.230769231,0.131578947,0,0.263157895,0.184210526,0.684210526,0.295081967,0.114754098,0.188235294,2.154328241,6.042253521,Pop,"Dance/Club/Electronic, Pop",Teen Pop,"Aggressive, Happy, Party",0.999999881,4.81255722
Nice For What,Drake,hot-100,1,25,[Drake].NiceForWhat,ABABC,No Pre-Chorus,62.3768158,3:30,Vocals Prevalence,Intro,0:00,No Intro,3,0,4,0,1,Outro,0:00,No Outro,10,"%P1-%m2, %M2-%m3",9,Mixed-Horizontal,1,F Aeolian,Aeolian,0,0.765432099,3.115384615,0.395061728,0.037037037,0.407407407,0.172839506,"%I, %IV",Mixed,Primarily Electronic,Drums/Perc Prevalence,3,2,0.034993271,0,0.009421265,0.004037685,0.00807537,Both,"Romantic, Egocentric, Empowering, Protest, Boasting, Holiday or Festivity","Dramatic, Reluctance, Anger, Sad, Bitter",0.057471264,0.204819277,0.296596434,4.021390374,0.571884984,0.837060703,0.888178914,0,0.065159574,0.017287234,0.010638298,1.309065565,0.970317608,0.713939394,0.261818182,2.602409639,0.123655914,0.020833333,0,0.208333333,0,0.202702703,0.013513514,0.378378378,0.027027027,0.648648649,0.462365591,0.02688172,0.107438017,2.865283169,7.3125,Hip Hop/Rap,Hip Hop/Rap,Trap,"Happy, Party",0.975875318,13.88051224
No,Meghan Trainor,hot-100,3,20,[MeghanTrainor].No,A-PC-B,Lyrically Identical,114.9011688,3:33,Vocals Prevalence,Intro,0:00,No Intro,2,2,4,0,1,Chorus,0:00,Instrumental,,,,,,C# Minor,Minor,,,,,,,,,Mixed,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Guitar",1,75,,,,,,,"Sex, Hedonism, Protest, Boasting, Yearning for Social company, Friendship, Family","Dramatic, Cynical, Reluctance, Positive, Bitter",0.168421053,0.29390681,0.241062308,6.11214953,0.5,0.855421687,0.963855422,0,0.018348624,0.073394495,0,0.646007276,0.359848485,0.35734072,0.132963989,0.96,0.170212766,0.192307692,0,0.153846154,0.076923077,0.125,0,0.275,0.05,0.65,0.212765957,0.042553191,0.533980583,2.940859055,4.426229508,Pop,"Dance/Club/Electronic, Pop, Hip Hop/Rap","Teen Pop, R&B Pop",Party,0.999663711,2.476950645
No Brainer,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",hot-100,5,15,[DjKhaledJustinBieberChanceTheRapperAndQuavo].NoBrainer,ABABC,No Pre-Chorus,102.0206757,4:20,Vocals Prevalence,Intro,0:00,No Intro,3,0,4,0,1,Outro,0:00,No Outro,6,"%P1-%m2, %M2-%m3, %M3-%P5",5,Horizontal,1,C Major,Major,0,0.865979381,7.185185171,0.319587629,0.149484536,0.304123711,0.077319588,"%I, %IV, %VI",Mixed,Primarily Electronic,Other,2,0,0.078869048,0.001488095,0.029761905,0,0.00297619,Both,"Romantic, Hedonism, Boasting, Lifestyle, Religion or Spirituality","Dramatic, Cynical, Optimistic, Reluctance, Positive",0.024024024,0.33030303,0.320498915,4.043243243,0.534435262,0.807162534,0.944903581,0.002673797,0.068181818,0.145721925,0.004010695,0.610788565,0.497944666,0.349875931,0.181141439,1.327272727,0.191489362,0.404761905,0,0.166666667,0.023809524,0.397727273,0.045454545,0.147727273,0.022727273,0.477272727,0.234042553,0.219858156,0.24742268,2.819747278,5.831932773,,,,Relaxed,0.978902459,1.905646324
No Guidance,Chris Brown Featuring Drake,hot-100,5,46,[ChrisBrownFeaturingDrake].NoGuidance,A-PC-B,Lyrically Identical,92.78578186,4:20,Vocals Prevalence,Intro,0:21,Vocal,2,2,3,0,1,Outro,0:21,Vocal,7,"%P1-%m2, %M2-%m3, %M3-%P5",11.5,Mixed-Vertical,2,C# Aeolian,Aeolian,0,0.766917293,3.5,0.278195489,0.082706767,0.436090226,0.037593985,"%I, %IV",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence",2,1,0.058823529,0.009803922,0.008169935,0.001633987,0.017973856,Both,"Infatuation, Love, Romantic, Sex, Introspection, Lifestyle, Friendship","Dramatic, Cynical, Nostalgic, Happy, Anger, Sad, Bitter",0.02283105,0.166666667,0.403672788,3.192708333,0.601941748,0.760517799,0.899676375,0.004893964,0.088091354,0.034257749,0.017944535,0.514018019,0.495876795,0.306376361,0.166407465,1.573529412,0.21875,0.170212766,0,0.319148936,0.085106383,0.256756757,0.040540541,0.391891892,0.067567568,0.635135135,0.46875,0.041666667,0.218978102,1.120810348,6.7625,Hip Hop/Rap,"Pop, Hip Hop/Rap, R&B/Soul","Trap, Classic Hip Hop",Happy,0.397183955,8.91198349
No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,hot-100,4,29,[G-EazyFeaturingASApRockyAndCardiB].NoLimit,A-PC-B,Lyrically Identical,87.99517822,4:05,Vocals Prevalence,Verse,0:00,No Intro,2,4,4,0,0,Outro,0:00,No Outro,1,"%P1-%m2, %M2-%m3, %M3-%P5",9.5,Mixed-Horizontal,9,Eb Minor,Minor,1,0.4,2.258064516,0.242857143,0.114285714,0.514285714,0.1,%I,Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Guitar",2,1,0.042997543,0.015970516,0.022113022,0.006142506,0.008599509,Abstract,"Sex, Boasting, Lifestyle, Drugs or Alcohol Use or Alcohol Use","Dramatic, Cynical, Detached",0.093632959,0.243137255,0.310725948,3.743119266,0.565947242,0.81294964,0.918465228,0.003676471,0.036764706,0.093137255,0.056372549,1.497849313,1.840644814,0.590021692,0.225596529,2.447058824,0.092391304,0.068493151,0,0.178082192,0,0.138461538,0,0.376923077,0.023076923,0.561538462,0.5,0.076086957,0.306666667,2.067623449,8.072916667,Hip Hop/Rap,Hip Hop/Rap,Trap,Party,0.999692142,1.910962105
No Tears Left To Cry,Ariana Grande,hot-100,3,27,[ArianaGrande].NoTearsLeftToCry,A-PC-B,Lyrically Differentiated,122.047348,3:25,Both,Chorus,0:00,No Intro,4,3,3,0,1,Chorus,0:00,No Outro,7,"%P1-%m2, %M2-%m3, %M3-%P5",10.5,Mixed-Vertical,5,A Aeolian,Aeolian,0,0.788819876,4.6,0.527950311,0.037267081,0.329192547,0.111801242,"%I, %III, %VI, %VII",Mixed,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Guitar",5,7,0.022222222,0.006060606,0.008080808,0,0,Abstract,Introspection,"Reluctance, Anger",0.005208333,0.421875,0.242131767,5.835294118,0.369649805,0.548638132,0.902723735,0.008064516,0.163306452,0.028225806,0,0.697418316,0.617162698,0.424187726,0.184115523,1.59375,0.125,0.090909091,0,0.272727273,0,0.409836066,0,0.213114754,0.032786885,0.540983607,0.395833333,0.135416667,0,2.081734459,6.105263158,Pop,Pop,R&B Pop,"Party, Relaxed, Melancholic",0.712788343,6.60241127
Nonstop,Drake,hot-100,2,22,[Drake].Nonstop,ABAB,No Pre-Chorus,77.3837204,3:58,Both,Intro,0:00,Vocal,2,0,2,0,0,Chorus,0:00,No Outro,,,,,,F# Blues,Blues,,,,,,,,,Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence",1,0,0.071637427,0.002923977,0.021929825,0.007309942,0.001461988,Both,Romantic,"Dramatic, Cynical, Happy, Reluctance, Anger, Bitter, Detached",0.026666667,0.123287671,0.399775407,2.7854251,0.403743316,0.71657754,0.909090909,0.001453488,0.097383721,0.056686047,0.031976744,1.918466388,1.616316438,0.561811506,0.200734394,2.246575342,0.116129032,0.171428571,0.014285714,0.171428571,0.028571429,0.181818182,0.015151515,0.166666667,0.234848485,0.53030303,0.406451613,0.15483871,0.264573991,2.179643147,8.012820513,Hip Hop/Rap,Hip Hop/Rap,Trap,"Party, Relaxed",0.999405384,9.217337608
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,hot-100,1,58,[LilNasXFeaturingBillyRayCyrus].OldTownRoad,AABA,No Pre-Chorus,67.9025879,2:37,Vocals Prevalence,Verse,0:00,No Intro,2,0,3,0,1,Chorus,1:46,Instrumental,4,"%P1-%m2, %M2-%m3, %M3-%P5",11,Mixed-Vertical,2,Ab Blues,Blues,0,0.618644068,3.6875,0.398305085,0.118644068,0.322033898,0.076271186,"%I, %III, %IV, %VII",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence",3,7,0.045602606,0.055374593,0.022801303,0.013029316,0,Both,,Detached,0.007407407,0.174242424,0.372635561,2.951923077,0.485507246,0.775362319,0.884057971,0,0.042345277,0.198697068,0,1.741909794,1.333968512,0.775551102,0.224448898,2.545454545,0.110091743,0.137931034,0,0.068965517,0,0.095744681,0.063829787,0.319148936,0.010638298,0.308510638,0.550458716,0.211009174,0.557312253,0.994454378,5.980392157,Hip Hop/Rap,Hip Hop/Rap,Trap,"Party, Relaxed",0.830422938,15.03092384
ON,BTS,hot-100,4,2,[Bts].On,AABA,,105.4461823,4:06,Vocals Prevalence,Intro,0:00,No Intro,4,0,0,,1,Outro,0:00,No Outro,4,"%P1-%m2, %M2-%m3, %M3-%P5, %m6+",11.5,Mixed-Vertical,3,A Minor,Minor,0,0.745901639,3.8125,0.401639344,0.081967213,0.319672131,0.008196721,"%I, %IV, %VII",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence",1,11,0.004889976,0.014669927,0.056234719,0.012224939,0.004889976,Both,"Egocentric, Success, Family","Reluctance, Positive, Bitter, Detached",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Happy, Party, Relaxed, Melancholic",0.858400464,9.069645882
One Dance,Drake Featuring WizKid & Kyla,hot-100,1,36,[DrakeWizkidAndKyla].OneDance,ABABC,No Pre-Chorus,103.7797623,2:53,Instruments Prevalence,Intro,0:00,No Intro,3,0,3,0,1,Outro,0:00,No Outro,7,"%P1-%m2, %M2-%m3, %M3-%P5",10.5,Mixed-Vertical,1,Bb Minor,Minor,1,0.778761062,5.136363649,0.530973451,0.061946903,0.398230088,0.017699115,"%I, %III, %IV, %V",Primarily Dark,Primarily Electronic,Other,2,6,0.037783375,0.002518892,0.002518892,0,0,Abstract,"Infatuation, Love, Romantic, Yearning for Social company, Friendship","Nostalgic, Reluctance",0.055555556,0.196969697,0.337096774,3.642201835,0.701421801,0.876777251,0.966824645,0,0.032745592,0.037783375,0,1.115653174,0.550925926,0.479212254,0.240700219,1.666666667,0.21,0.25,0,0.333333333,0,0.333333333,0,0.270833333,0,0.5,0.5,0.11,0.090909091,2.267845718,5.293333333,,,,"Party, Relaxed",0.906270385,10.46890736
Pain 1993,Drake Featuring Playboi Carti,hot-100,7,3,[DrakePlayboiCarti].Pain1993,ABABC,,77.0446625,2:29,Both,Intro,0:12,No Intro,3,0,3,,1,Chorus,0:12,No Outro,2,,,,,C Aeolian,Aeolian,0,0.934579439,8.916666667,0.476635514,0,0.476635514,0.074766355,"%I, %IV, %V",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Piano",1,0,,,,,,,"Breakup, Empowering, Protest, Holiday or Festivity, Lifestyle, Yearning for Social company, Friendship, Drugs or Alcohol Use or Alcohol Use, Family","Cynical, Detached",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hip Hop/Rap,Hip Hop/Rap,Trap,Relaxed,0.964529216,2.268630028
Panda,Desiigner,hot-100,1,40,[Desiigner].Panda,A-PC-B,,72.35809325,4:07,Instruments Prevalence,Intro,0:27,No Intro,2,2,4,,0,Chorus,0:27,No Outro,8,,,,,Eb Aeolian,Aeolian,0,0.611111111,4.695652174,0.388888889,0.240740741,0.490740741,0.194444444,"%I, %II",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence",1,39,,,,,,,"Breakup, Empowering, Sex, Success, Boasting, Lifestyle, Yearning for Social company, Family",Detached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hip Hop/Rap,Hip Hop/Rap,"Classic Hip Hop, Trap",Party,0.991381586,15.3127718
Panini,Lil Nas X,hot-100,5,32,[LilNasX].Panini,A-PC-B,Lyrically Identical,76.9733734,1:54,Instruments Prevalence,Intro,0:00,No Intro,2,2,2,0,1,Outro,0:27,Vocal,4,"%P1-%m2, %M2-%m3, %M3-%P5",11,Mixed-Vertical,5,Ab Major,Major,0,0.78021978,3.37037037,0.373626374,0.043956044,0.472527473,0.131868132,"%I, %III, %IV, %V, %VI",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Guitar",1,2,0.037558685,0.004694836,0.018779343,0,0,Both,"Egocentric, Hedonism, Success, Materialized Dream, Protest, Introspection, Yearning for Social company","Nostalgic, Happy, Reluctance, Positive",0,0.141025641,0.447609359,2.583333333,0.689655172,0.850574713,0.91954023,0,0.013824885,0.02764977,0,0.763786008,0.453703704,0.219512195,0.12195122,1.153846154,0.434782609,0.166666667,0,0.666666667,0,0.1875,0.0625,0.3125,0,0.375,0.652173913,0.217391304,0.090909091,1.496223208,6.142857143,Hip Hop/Rap,"Hip Hop/Rap, Rock","Alternative Pop, Pop, Rock","Party, Relaxed",0.957315087,9.581209183
Paris,The Chainsmokers,hot-100,6,20,[TheChainsmokers].Paris,ABABC,No Pre-Chorus,99.91041565,3:41,Vocals Prevalence,Intro,0:00,No Intro,3,0,3,0,0,Outro,0:00,No Outro,1,"%P1-%m2, %M2-%m3",10.5,Mixed-Vertical,1,D Major,Major,0,0.909090909,5.5,0.372727273,0.136363636,0.272727273,0.054545455,"%I, %IV, %V, %VI",Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Guitar, Piano",1,8,0.007281553,0.026699029,0,0.002427184,0.002427184,Both,Boasting,"Nostalgic, Anger",0,0.26984127,0.261952191,4.489130435,0.632768362,0.807909605,0.853107345,0,0.004842615,0.00968523,0,0.815525381,0.746741453,0.493902439,0.162601626,1.26984127,0.202702703,0.263157895,0.026315789,0,0,0.438596491,0.01754386,0.070175439,0.01754386,0.666666667,0.567567568,0,0.285714286,1.857749469,5.5,Pop,"Dance/Club/Electronic, Pop",Alternative Pop,Other,0.975960672,7.837110519
Passionfruit,Drake,hot-100,8,20,[Drake].Passionfruit,ABAB,No Pre-Chorus,111.9983673,4:58,Instruments Prevalence,Intro,0:00,No Intro,2,0,2,0,1,Outro,0:00,No Outro,2,"%P1-%m2, %M2-%m3, %M3-%P5",5.5,Horizontal,2,F# Mixolydian,Mixolydian,0,0.81884058,3.72972973,0.166666667,0.202898551,0.5,0.195652174,"%I, %IV, %V, %VI, %VII",Mixed,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Guitar",1,0,0.035087719,0,0.004385965,0,0.004385965,Both,"Empowering, Sex, Protest, Introspection, Friendship","Cynical, Reluctance, Anger, Positive",0.032520325,0.292682927,0.443181818,2.150943396,0.542372881,0.805084746,0.923728814,0,0.065789474,0.030701754,0.026315789,0.481074365,0.348024776,0.215384615,0.129230769,1.024390244,0.428571429,0.210526316,0,0.578947368,0.052631579,0.137931034,0,0.655172414,0.068965517,0.655172414,0.571428571,0.028571429,0.481481481,0.762623425,4.85106383,Hip Hop/Rap,"Pop, Hip Hop/Rap, Rock","Alternative Pop, Jazz World",Other,0.896193922,7.590761185
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,hot-100,1,17,[JustinBieberDanielCaesarAndGiveon].Peaches,AchAch,,89.80077362,3:18,Vocals Prevalence,Chorus,0:18,No Intro,2,0,3,,1,Outro,0:18,No Outro,1,,,,,C Major,Major,0,0.953703704,5.684210526,0.092592593,0.064814815,0.75,0.305555556,"%I, %II, %III, %IV",Primarily Bright,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Piano",1,7,,,,,,,Introspection,"Cynical, Reluctance, Bitter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pop,Pop,"R&B, Teen Pop",Relaxed,0.756712437,1.768665791
Perfect,Ed Sheeran,hot-100,1,57,[EdSheeran].Perfect,ABAB,No Pre-Chorus,94.93183899,4:23,Vocals Prevalence,Intro,0:20,Instrumental,2,0,3,0,1,Outro,0:20,Instrumental,5,"%P1-%m2, %M2-%m3, %M3-%P5",9.75,Mixed-Horizontal,3,Ab Major,Major,1,0.992647059,8.5,0.580882353,0.051470588,0.286764706,0.073529412,"%I, %IV, %V, %VI",Primarily Bright,Primarily Acoustic,"Guitar, Bass Prevalence, Drums/Perc Prevalence, String Section, Piano",1,4,0.059233449,0.003484321,0,0,0.010452962,Both,"Love, Romantic, Sex, Materialized Dream, Religion or Spirituality, Yearning for Social company, Friendship, Family","Dramatic, Cynical, Optimistic, Nostalgic, Reluctance",0,0.019607843,0.459366391,2.2421875,0.544776119,0.917910448,0.97761194,0.010452962,0.003484321,0.006968641,0,0.86105172,0.243269841,0.146478873,0.107042254,1.117647059,0.633333333,0,0,0.2,0,0.142857143,0,0.333333333,0.19047619,0.476190476,0.866666667,0.066666667,0.321428571,1.025498099,7.358974359,Pop,"Pop, Rock, Country",Classic Pop,Relaxed,0.794176102,5.732653141
Perfect,One Direction,hot-100,10,20,[OneDirection].Perfect,A-PC-B,Lyrically Identical,99.80554962,3:50,Vocals Prevalence,Intro,0:00,No Intro,2,2,3,0,1,Outro,0:00,No Outro,,,,,,D Major,Major,,,,,,,,,Primarily Dark,Primarily Electronic,"Bass Prevalence, Drums/Perc Prevalence, Guitar, Piano",1,14,0.051044084,0.020881671,0,0.002320186,0.002320186,Abstract,"Romantic, Breakup, Materialized Dream, Introspection, Yearning for Social company","Optimistic, Nostalgic, Happy, Reluctance, Positive",0,0.512345679,0.271632471,3.74782609,0.689320388,0.883495146,0.980582524,0,0.006960557,0.006960557,0,0.781310066,0.569970238,0.311594203,0.150362319,1.537037037,0.191780822,0.130434783,0,0.47826087,0,0.4,0.066666667,0.377777778,0,0.511111111,0.630136986,0.109589041,0.17,1.882622218,6.951612903,Pop,"Pop, Rock","Teen Pop, DJ Pop",Party,0.932047665,6.56584549
Photograph,Ed Sheeran,hot-100,10,30,[EdSheeran].Photograph,A-PC-B,Lyrically Identical,108.1097641,4:18,Vocals Prevalence,Intro,0:04,Instrumental,2,2,2,0,1,Outro,0:00,No Outro,6,"%P1-%m2, %M2-%m3, %M3-%P5, %m6+",11.5,Mixed-Vertical,1,E Major,Major,0,0.846153846,5.055555556,0.604395604,0.131868132,0.208791209,0.186813187,"%I, %IV, %V, %VI",Primarily Dark,Primarily Electronic,"Guitar, Bass Prevalence, Drums/Perc Prevalence, Piano",1,2,0.00623053,0.021806854,0,0.009345794,0.00623053,Both,"Infatuation, Love, Romantic, Breakup","Nostalgic, Anger, Sad, Bitter",0.007407407,0.266666667,0.391816491,2.743589744,0.666666667,0.934640523,0.986928105,0,0.003115265,0.003115265,0,0.717547084,0.473143739,0.293233083,0.13283208,1.177777778,0.342857143,0.136363636,0,0.227272727,0,0.310344828,0,0.275862069,0,0.75862069,0.657142857,0.142857143,0.231884058,1.170201052,5.944444444,Pop,"Pop, Rock",Classic Pop,"Relaxed, Melancholic",0.023994489,12.35247231
